Skyddat fynd;Id;Taxonsorteringsordning;Valideringsstatus;Rödlistade;TaxonId;Artnamn;Vetenskapligt namn;Auktor;Antal;Enhet;Ålder-Stadium;Kön;Aktivitet;Längd (mm);Vikt (g);Metod;Huvudlokal;Lokalnamn;Ost;Nord;Noggrannhet;Diffusion;Län;Kommun;Provins;Församling;Externid;Startdatum;Starttid;Slutdatum;Sluttid
;14857911;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);10;;imago/adult;;friflygande;;;observerad;;Siggemåla;1471170;6417960;100;0;Östergötland;Ydre;Östergötland;Norra Vi;;2011-07-22;;2011-07-22;
;14857917;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);10;;imago/adult;;friflygande;;;observerad;;Svedala gamla boställe;1472050;6416290;100;0;Östergötland;Ydre;Östergötland;Norra Vi;;2011-07-22;;2011-07-22;
;14851902;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);5;;imago/adult;;friflygande;;;observerad;;Betesmark, SV Tullerum;1471520;6419130;250;0;Östergötland;Ydre;Östergötland;Norra Vi;;2011-07-22;;2011-07-22;
;14817620;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);20;;;;friflygande;;;observerad;;Betesmar O Tångby;1468270;6418770;100;0;Östergötland;Ydre;Östergötland;Asby;;2011-07-03;;2011-07-03;
;14472501;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);1;;;;friflygande;;;;;Drivån, damm vid Gunnänga;1389660;6254810;50;0;Skåne;Osby;Skåne;Osby;;2010-07-28;;2010-07-28;
;14482281;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);1;;;;friflygande;;;;;Flackarp, sammanflödet Helge å;1389090;6246250;100;0;Skåne;Östra Göinge;Skåne;Östra Broby;;2010-08-05;;2010-08-05;
;13582561;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);1;;;;friflygande;;;observerad;;Betesmark O Äskeröd;1394490;6245840;100;0;Skåne;Östra Göinge;Skåne;Glimåkra;;2008-08-01;;2008-08-01;
;14031851;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);3;;;;;;;observerad;;Ejratal, grustaget;1382830;6253150;100;0;Skåne;Osby;Skåne;Osby;;2009-07-03;;2009-07-03;
;14460536;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);3;;;;friflygande;;;;;Hökön, banvall V samhället;1402230;6262270;100;0;Skåne;Osby;Skåne;Loshult;;2010-07-19;;2010-07-19;
;14102100;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);1;;;;friflygande;;;observerad;;Håkantorpet, dammarna;1417930;6259710;100;0;Skåne;Osby;Skåne;Örkened;;2009-07-15;;2009-07-15;
;14102115;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);1;;;;friflygande;;;observerad;;NV Udryen;1418970;6260490;100;0;Kronoberg;Älmhult;Småland;Härlunda;;2009-07-15;;2009-07-15;
;14116295;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);1;;;;friflygande;;;observerad;;Kylen, Osby;1385450;6258880;100;0;Skåne;Osby;Skåne;Visseltofta;;2009-07-25;;2009-07-25;
;13158077;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);1;;imago/adult;;;;;observerad;;Rönneboda, Örkened;1401790;6251580;100;0;Skåne;Osby;Skåne;Örkened;;2006-07-30;;2006-07-30;
;13154270;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);1;;imago/adult;;;;;observerad;;Kalhult O, Osby;1392280;6250550;100;0;Skåne;Osby;Skåne;Osby;;2006-07-25;;2006-07-25;
;13159613;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);5;;imago/adult;;;;;observerad;;Bäckalid  NO Värsjön;1357500;6246950;100;0;Skåne;Örkelljunga;Skåne;Skånes-Fagerhult;;2006-08-01;;2006-08-01;
;13151959;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);2;;imago/adult;;;;;observerad;;Östaröd, Boalt, Glimåkra;1397390;6247720;100;0;Skåne;Östra Göinge;Skåne;Glimåkra;;2006-07-22;;2006-07-22;
;13286372;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);2;;;;friflygande;;;observerad;;Blekingegränsen, väg 119;1419170;6257630;100;0;Skåne;Osby;Skåne;Örkened;;2007-07-17;;2007-07-17;
;13281419;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);2;;;;friflygande;;;observerad;;V Övraryd;1402270;6255530;100;0;Skåne;Östra Göinge;Skåne;Glimåkra;;2007-07-13;;2007-07-13;
;86966709;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);1; ; ; ; ;;; ;;Ebbarp, Osby;1388430;6249750;100;0;Skåne;Osby;Skåne;Osby;;2020-07-18;;2020-07-18;
;54895259;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);7; ; ; ;friflygande;;;observerad;;O Herrgårdsklint;1676864;6367546;100;0;Gotland;Gotland;Gotland;Gammelgarn;;2015-08-13;;2015-08-13;
;54895457;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);10; ; ; ;friflygande;;;observerad;;Jalhagen, Fårö;1697562;6423342;50;0;Gotland;Gotland;Gotland;Fårö;;2015-08-18;;2015-08-18;
