Skyddat fynd;Id;Taxonsorteringsordning;Valideringsstatus;Rödlistade;TaxonId;Artnamn;Vetenskapligt namn;Auktor;Antal;Enhet;Ålder-Stadium;Kön;Aktivitet;Längd (mm);Vikt (g);Metod;Huvudlokal;Lokalnamn;Ost;Nord;Noggrannhet;Diffusion;Län;Kommun;Provins;Församling;Externid;Startdatum;Starttid;Slutdatum;Sluttid
;102308631;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1;ex.;imago/adult; ;födosökande;;; ;Västanfors sn;Högbyn;1495637;6649197;50;0;Västmanland;Fagersta;Västmanland;Fagersta;;2022-07-17;;2022-07-17;
;102146298;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1;ex.;imago/adult; ;födosökande;;; ;;Jätteåsarna;1496978;6652695;50;0;Västmanland;Fagersta;Västmanland;Fagersta;;2022-07-09;;2022-07-09;
;102071739;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1;ex.;imago/adult; ;friflygande;;; ;;Högbyn;1494663;6649254;75;0;Västmanland;Fagersta;Västmanland;Fagersta;;2022-07-05;11:00;2022-07-05;11:00
;94644179;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1;ex.;imago/adult; ;friflygande;;; ;;Jätteåsarna;1496979;6652315;25;0;Västmanland;Fagersta;Västmanland;Fagersta;;2021-07-03;12:00;2021-07-03;12:00
;94689363;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);3;ex.;imago/adult; ;friflygande;;; ;;Högbyn;1494663;6649254;75;0;Västmanland;Fagersta;Västmanland;Fagersta;;2021-07-05;10:00;2021-07-05;11:00
;87026812;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);2;ex.;imago/adult; ;vilande;;; ;;Högbyn;1494663;6649254;75;0;Västmanland;Fagersta;Västmanland;Fagersta;;2020-07-22;11:00;2020-07-22;11:00
;94841710;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1;;imago/adult; ;vilande;;;;;Uppsala;1582410;6649128;25;0;Uppsala;Uppsala;Uppland;Jumkil;;2021-07-12;;2021-07-12;
;94852241;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1;;imago/adult;hane;friflygande;;;;;Uppsala;1598021;6636831;25;0;Uppsala;Uppsala;Uppland;Läby;;2021-07-13;11:39;2021-07-13;11:39
;15594542;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1;;;;;;;;;NV Holmen;1397919;6183374;50;0;Skåne;Kristianstad;Skåne;Maglehem;;2013-07-20;;2013-07-20;
;15594577;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1;;;;;;;;;Stensoffa Ekol stationen;1351785;6176482;25;0;Skåne;Lund;Skåne;Silvåkra;;2013-07-11;;2013-07-11;
